venue_id,venue_full_name,venue_city,venue_state,league
2197,Western Hall,Macomb,IL,ncaa_mbb
1920,Truist Arena,Highland Heights,KY,ncaa_mbb
1949,Mortgage Matchup Center,Phoenix,AZ,ncaa_mbb
3471,Summit Arena,Hot Springs,AR,ncaa_mbb
1937,Pan American Center,Las Cruces,NM,ncaa_mbb
553,Alex G. Spanos Center,Stockton,CA,ncaa_mbb
2107,Broadview Arena,Buffalo,NY,ncaa_mbb
4947,Corteva Coliseum,Indianapolis,IN,ncaa_mbb
1994,Swisher Gymnasium,Jacksonville,FL,ncaa_mbb
5470,UPMC Events Center,Moon Township,PA,ncaa_mbb
6008,Chesapeake Employers Insurance Arena,Baltimore,MD,ncaa_mbb
812,Mott Athletics Center,San Luis Obispo,CA,ncaa_mbb
1950,Betty Engelstad Sioux Center,Grand Forks,ND,ncaa_mbb
2146,McKenzie Arena,Chattanooga,TN,ncaa_mbb
4938,CFG Bank Arena,Baltimore,MD,ncaa_mbb
5075,Vibrant Arena at The MARK,Moline,IL,ncaa_mbb
7554,Colonial Hall,White Sulphur Springs,WV,ncaa_mbb
2062,Draddy Gymnasium,Riverdale,NY,ncaa_mbb
7239,Rock Hill Sports & Event Center,Rock Hill,SC,ncaa_mbb
2070,G.B. Hodge Center,Spartanburg,SC,ncaa_mbb
1972,University Arena (MI),Kalamazoo,MI,ncaa_mbb
1934,McCann Arena,Poughkeepsie,NY,ncaa_mbb
1907,M&T Bank Arena,Hamden,CT,ncaa_mbb
2016,Paul Porter Arena,Boiling Springs,NC,ncaa_mbb
2015,VyStar Arena,Kennesaw,GA,ncaa_mbb
539,LBS Financial Credit Union Pyramid,Long Beach,CA,ncaa_mbb
2807,Landers Center,Southaven,MS,ncaa_mbb
1947,Chaifetz Arena,St. Louis,MO,ncaa_mbb
194,John M. Belk Arena,Davidson,NC,ncaa_mbb
1976,Broadview Center,Albany,NY,ncaa_mbb
2078,The Nest,Sacramento,CA,ncaa_mbb
469,Bren Events Center,Irvine,CA,ncaa_mbb
299,Worthen Arena,Muncie,IN,ncaa_mbb
